row_number,employee_id,first_name,last_name,job_title,withheld_401
1,1,Flin,Hallsworth,developer 3,3-38
0,2,Joscelin,Heak,developer 1,3.98
3,3,Dorelia,Demangeon,sales,1-1
4,4,Annemarie,Gillam,contractors,3.8
5,5,Corette,Moatt,sales,2.28
6,6,Richmound,Merkle,contractors,3.21
7,7,Faulkner,O'Skehan,chairman,1.71
8,8,Phylys,Tampen,business analyst,2.75
9,9,Shari,Pabst,contractors,2.32
10,10,Ross,Mathieson,developer 2,1.82
11,11,Powell,Brockington,sales,2.86
12,12,Yvette,Niche,contractors,1.05
13,13,Lloyd,Hughesdon,sales,1.45
14,14,Farrah,Tonge,sales,0.26
15,15,Nester,Bolderoe,technical writer,2.71
16,16,Ulick,Tabor,developer 2,2.31
17,17,Orion,Umney,developer 2,0.79
18,18,Bernita,Shervington,contractors,3.69
19,19,Augusto,Kehir,business analyst,1.43
20,20,Cathrin,Lippo,developer 3,2.63
21,21,Lucia,McKniely,sales,2.93
22,22,Kendell,Rubie,business analyst,2.26
23,23,Kristel,Troy,business analyst,0.09
24,24,Brandy,Scholtz,developer 1,0.87
25,25,Kyle,Morton,business analyst,2.23
26,26,Pia,McClure,business analyst,2.33
27,27,Mathew,Leathley,developer 1,1.1
28,28,Horten,Goncaves,contractors,0.79
29,29,Ado,Jozwiak,developer 2,3.53
30,30,Rowena,Dockerty,business analyst,3.02
31,31,Loreen,Alti,business analyst,2.6
32,32,Boniface,Bromehead,developer 3,3.92
33,33,Hiram,Wallas,sales,2.05
34,34,Theo,Jarvie,developer 2,2.5
35,35,Graig,Oakley,contractors,3.77
36,36,Jemimah,Bygate,technical writer,3.67
37,37,Laney,Beekman,chairman,3.23
38,38,Rey,Vobes,sales,1.42
39,39,Elnora,Hastie,technical writer,1.97
40,40,Maxi,Semered,developer 1,0.3
41,41,Sioux,Wayland,chairman,0.99
42,42,Iain,Escala,business analyst,3.63
43,43,Barron,Thunders,chairman,0.82
44,44,Cherie,Rustman,developer 2,1.46
45,45,Samara,Bransden,business analyst,3.46
46,46,Slade,Gregan,contractors,3.71
47,47,Nariko,Selbach,chairman,2.66
48,48,Anthiathia,Sturte,chairman,2.89
